,Feature,Score
25,TPSA,0.0251662193281601
3,n_secamines,0.014832278225969331
26,n_arorings,0.01002922082918567
20,exact_weight,0.009636434264385763
22,n_donors,0.00916946450026157
0,n_amides,0.008073386430188734
1,n_ethers,0.007263763055446404
13,n_anilines,0.006804501145422748
23,n_acceptors,0.006024971524076328
2,n_teramines,0.005670264285083881
21,log_p,0.005368303285216092
24,n_rotbonds,0.005319114014930237
88,z_ecfp_61,0.005027806404838131
18,n_heavyatoms,0.003995569100022189
30,z_ecfp_3,0.0029690907564059454
9,n_sulfoanamids,0.002881689404235166
17,n_atoms,0.0028757636761436167
12,n_alkenes,0.002521792368166853
14,n_halogens,0.002467426936265893
19,n_bonds,0.002346894159613422
7,n_oxos,0.0023115354864982063
53,z_ecfp_26,0.002277523371450485
56,z_ecfp_29,0.0022220268988899505
28,z_ecfp_1,0.002217043677810837
83,z_ecfp_56,0.0015877197646485541
93,z_ecfp_66,0.0014571086791852483
104,z_ecfp_77,0.0014323902262787236
87,z_ecfp_60,0.0013899707853917143
109,z_ecfp_82,0.0012983755803110952
68,z_ecfp_41,0.0012345798203152736
45,z_ecfp_18,0.0012248321711032517
27,z_ecfp_0,0.0012108075788903605
5,n_chloros,0.00118902925553388
8,n_phenols,0.0011809684670349707
73,z_ecfp_46,0.0011612706769597025
38,z_ecfp_11,0.001147196993355859
86,z_ecfp_59,0.0011248351200028317
33,z_ecfp_6,0.0011239450665800899
77,z_ecfp_50,0.0011215421555152982
52,z_ecfp_25,0.0011054939027423938
122,z_ecfp_95,0.001084858477981232
64,z_ecfp_37,0.0009869772494377482
31,z_ecfp_4,0.0009728231900196782
113,z_ecfp_86,0.0009546660798427364
95,z_ecfp_68,0.0009176150268053185
118,z_ecfp_91,0.0009133551859703548
72,z_ecfp_45,0.0008948511013944227
34,z_ecfp_7,0.0008632131440162727
92,z_ecfp_65,0.0008363863467499844
98,z_ecfp_71,0.0008328989773778162
96,z_ecfp_69,0.0008260959573520577
37,z_ecfp_10,0.000789700171611285
99,z_ecfp_72,0.000728492065620534
15,n_alihydroxyls,0.0007132597762791182
90,z_ecfp_63,0.0006596770014950515
63,z_ecfp_36,0.0006592075072671122
107,z_ecfp_80,0.0006055610928674682
75,z_ecfp_48,0.0005974300597708648
100,z_ecfp_73,0.0005683606677340247
16,n_arohydroxyls,0.0005269997701706775
46,z_ecfp_19,0.000513632954347587
91,z_ecfp_64,0.0005025803156568642
111,z_ecfp_84,0.0004873238694511617
97,z_ecfp_70,0.0004753336950225062
70,z_ecfp_43,0.00046977250355562106
36,z_ecfp_9,0.00046820903550748305
74,z_ecfp_47,0.00045876543044531815
115,z_ecfp_88,0.00044796159270754643
58,z_ecfp_31,0.0004430312699756911
65,z_ecfp_38,0.0003990819820951508
67,z_ecfp_40,0.00037261244361386225
89,z_ecfp_62,0.0003603480370479861
85,z_ecfp_58,0.00035699394753652136
81,z_ecfp_54,0.00034878975178176397
106,z_ecfp_79,0.00034832508952931107
78,z_ecfp_51,0.00033628973214128166
35,z_ecfp_8,0.00030185474743982255
61,z_ecfp_34,0.0002876190625871189
4,n_fluoros,0.00027566632724318474
126,z_ecfp_99,0.0002514183175765794
62,z_ecfp_35,0.0002443051314990896
123,z_ecfp_96,0.00022271436812904
55,z_ecfp_28,0.00021106917715951745
79,z_ecfp_52,0.0002026021927479249
124,z_ecfp_97,0.00018795207443567108
69,z_ecfp_42,0.00018199668629437227
11,n_nitriles,0.00017963280767663292
43,z_ecfp_16,0.00017651393353035338
80,z_ecfp_53,0.00016634486110933544
60,z_ecfp_33,0.00016587566489056904
66,z_ecfp_39,0.00016383702310118764
49,z_ecfp_22,0.00015272395236376468
42,z_ecfp_15,0.00014439294715207218
82,z_ecfp_55,0.0001242432450685449
48,z_ecfp_21,9.873827091610998e-05
41,z_ecfp_14,5.9850046061127316e-05
6,n_carboxacids,5.06466257474969e-05
44,z_ecfp_17,4.5187400295798597e-05
47,z_ecfp_20,3.142866090311003e-05
76,z_ecfp_49,3.075036869137904e-05
125,z_ecfp_98,2.5807898978547072e-05
121,z_ecfp_94,0.0
120,z_ecfp_93,0.0
119,z_ecfp_92,0.0
84,z_ecfp_57,0.0
117,z_ecfp_90,0.0
116,z_ecfp_89,0.0
59,z_ecfp_32,0.0
114,z_ecfp_87,0.0
10,n_priamines,0.0
112,z_ecfp_85,0.0
108,z_ecfp_81,0.0
110,z_ecfp_83,0.0
54,z_ecfp_27,0.0
51,z_ecfp_24,0.0
105,z_ecfp_78,0.0
102,z_ecfp_75,0.0
101,z_ecfp_74,0.0
50,z_ecfp_23,0.0
29,z_ecfp_2,0.0
32,z_ecfp_5,0.0
71,z_ecfp_44,0.0
94,z_ecfp_67,0.0
39,z_ecfp_12,0.0
40,z_ecfp_13,0.0
57,z_ecfp_30,0.0
103,z_ecfp_76,0.0
