,Feature,Score
25,TPSA,0.02512065382900852
3,n_secamines,0.014848764802998904
26,n_arorings,0.010188051294266032
20,exact_weight,0.009361504359143957
0,n_amides,0.008462061621372419
13,n_anilines,0.008039827853881798
22,n_donors,0.007141778353660477
1,n_ethers,0.006552352709825904
24,n_rotbonds,0.005965055276436093
2,n_teramines,0.005477652042901404
23,n_acceptors,0.005427259674514406
21,log_p,0.005370975928351562
88,z_ecfp_61,0.005025318017327196
30,z_ecfp_3,0.0029902623945081697
19,n_bonds,0.0028919537059195477
12,n_alkenes,0.002797008868560047
18,n_heavyatoms,0.0023774121583410857
17,n_atoms,0.0022721634585252115
53,z_ecfp_26,0.0022698867845469817
56,z_ecfp_29,0.002232703948964021
28,z_ecfp_1,0.00220786934864714
14,n_halogens,0.0021967096643160655
7,n_oxos,0.002010552183356218
9,n_sulfoanamids,0.0018661903910122124
16,n_arohydroxyls,0.0016513537023505886
5,n_chloros,0.001601984535124279
83,z_ecfp_56,0.0015835716757326423
93,z_ecfp_66,0.001454640468101731
104,z_ecfp_77,0.0014250245237061865
87,z_ecfp_60,0.001393295879711376
109,z_ecfp_82,0.0012891622392632307
68,z_ecfp_41,0.0012390976275822307
6,n_carboxacids,0.00123897069458212
45,z_ecfp_18,0.0012334430780516215
27,z_ecfp_0,0.0012214649085708906
73,z_ecfp_46,0.0011570953026913688
38,z_ecfp_11,0.001135517742287817
77,z_ecfp_50,0.001122680531675968
33,z_ecfp_6,0.0011213189307515137
86,z_ecfp_59,0.0011156729580619196
52,z_ecfp_25,0.0010913198270314783
122,z_ecfp_95,0.0010857456055914927
64,z_ecfp_37,0.0009953178479233937
31,z_ecfp_4,0.0009833172720967731
113,z_ecfp_86,0.0009431137575759418
118,z_ecfp_91,0.0009204606587296382
95,z_ecfp_68,0.0009109160239670899
72,z_ecfp_45,0.0008971319723429794
34,z_ecfp_7,0.0008656583265862494
92,z_ecfp_65,0.0008450294601718422
98,z_ecfp_71,0.0008350231609941527
96,z_ecfp_69,0.0008249886784217342
37,z_ecfp_10,0.0007795899781279925
99,z_ecfp_72,0.0007170497930555353
11,n_nitriles,0.0006838421716222065
63,z_ecfp_36,0.0006663999741556292
90,z_ecfp_63,0.0006584037194481418
107,z_ecfp_80,0.0006079736706652294
75,z_ecfp_48,0.0005989115636542142
100,z_ecfp_73,0.0005779274766108955
8,n_phenols,0.0005329116775187881
46,z_ecfp_19,0.0005218425846647001
91,z_ecfp_64,0.0005098370747249614
111,z_ecfp_84,0.0004850404219185478
97,z_ecfp_70,0.0004753452512935574
36,z_ecfp_9,0.0004708370525117189
70,z_ecfp_43,0.00046958234168315016
74,z_ecfp_47,0.000466479430419664
115,z_ecfp_88,0.000443367362685132
58,z_ecfp_31,0.0004413664853444299
65,z_ecfp_38,0.00039447894042510256
67,z_ecfp_40,0.00036888604064788666
4,n_fluoros,0.000364864522188979
89,z_ecfp_62,0.0003591422278921286
85,z_ecfp_58,0.00035764565150753214
106,z_ecfp_79,0.0003492820657149398
81,z_ecfp_54,0.00034627784528429295
78,z_ecfp_51,0.0003385210870909816
35,z_ecfp_8,0.00030187574509321635
61,z_ecfp_34,0.0002894336933503272
62,z_ecfp_35,0.00023928695990638182
126,z_ecfp_99,0.00023799110935684986
123,z_ecfp_96,0.0002348311691404703
55,z_ecfp_28,0.0002280046173130934
79,z_ecfp_52,0.00020051007868504556
124,z_ecfp_97,0.00018578375333655472
69,z_ecfp_42,0.00017508160252610594
80,z_ecfp_53,0.00017470518797435552
60,z_ecfp_33,0.0001679946810777544
43,z_ecfp_16,0.00016221888719414324
66,z_ecfp_39,0.0001525358781218067
49,z_ecfp_22,0.0001452030738702259
42,z_ecfp_15,0.00013801841834681916
82,z_ecfp_55,0.00012171835241692186
48,z_ecfp_21,8.830715929941668e-05
10,n_priamines,5.911170006345223e-05
41,z_ecfp_14,5.036753553899764e-05
125,z_ecfp_98,4.4255469110687784e-05
44,z_ecfp_17,4.3006821274449436e-05
76,z_ecfp_49,2.9730555873852538e-05
47,z_ecfp_20,2.5757578036467166e-05
114,z_ecfp_87,0.0
54,z_ecfp_27,0.0
116,z_ecfp_89,0.0
117,z_ecfp_90,0.0
94,z_ecfp_67,0.0
119,z_ecfp_92,0.0
112,z_ecfp_85,0.0
121,z_ecfp_94,0.0
59,z_ecfp_32,0.0
84,z_ecfp_57,0.0
120,z_ecfp_93,0.0
110,z_ecfp_83,0.0
51,z_ecfp_24,0.0
39,z_ecfp_12,0.0
15,n_alihydroxyls,0.0
108,z_ecfp_81,0.0
50,z_ecfp_23,0.0
105,z_ecfp_78,0.0
57,z_ecfp_30,0.0
103,z_ecfp_76,0.0
102,z_ecfp_75,0.0
101,z_ecfp_74,0.0
32,z_ecfp_5,0.0
71,z_ecfp_44,0.0
40,z_ecfp_13,0.0
29,z_ecfp_2,0.0
