,Feature,Score
25,TPSA,0.02539639169882424
3,n_secamines,0.014406532772627711
26,n_arorings,0.010085135713408633
22,n_donors,0.010079856274397558
20,exact_weight,0.009850701789644978
0,n_amides,0.008519612843152613
13,n_anilines,0.008055292289024463
1,n_ethers,0.007225263213642252
2,n_teramines,0.006207234378986737
21,log_p,0.005216167259455506
88,z_ecfp_61,0.005029379521865884
23,n_acceptors,0.004958820904731764
24,n_rotbonds,0.004426151428532865
14,n_halogens,0.0031654897046609065
30,z_ecfp_3,0.0029754837986142313
17,n_atoms,0.002870587128722457
12,n_alkenes,0.002857331512553074
18,n_heavyatoms,0.002720960059371169
7,n_oxos,0.002659753577596291
19,n_bonds,0.0024617134067350666
53,z_ecfp_26,0.0022705864308192325
56,z_ecfp_29,0.002232390103975801
28,z_ecfp_1,0.0022026401874819523
9,n_sulfoanamids,0.001884727275649034
5,n_chloros,0.001773309978181592
83,z_ecfp_56,0.001590601742158082
93,z_ecfp_66,0.0014660490445406182
104,z_ecfp_77,0.0014369274628627249
87,z_ecfp_60,0.001383749151072422
109,z_ecfp_82,0.0012948944873190094
68,z_ecfp_41,0.0012349601756358464
45,z_ecfp_18,0.001226987165436233
27,z_ecfp_0,0.0012198522534665468
73,z_ecfp_46,0.0011451961913206965
38,z_ecfp_11,0.001133454913557319
77,z_ecfp_50,0.0011265145254504283
33,z_ecfp_6,0.0011209165934609189
86,z_ecfp_59,0.0011201198696133563
52,z_ecfp_25,0.0010992889440435416
122,z_ecfp_95,0.0010789618977442572
15,n_alihydroxyls,0.0010023421194687021
64,z_ecfp_37,0.0009869299615989924
31,z_ecfp_4,0.0009814841114794692
113,z_ecfp_86,0.0009481919290896812
11,n_nitriles,0.0009133515079242649
95,z_ecfp_68,0.0009118265749483712
118,z_ecfp_91,0.0009082463995981893
72,z_ecfp_45,0.0009063231319783593
34,z_ecfp_7,0.0008613795784200295
92,z_ecfp_65,0.0008392790033759923
96,z_ecfp_69,0.0008311106643477117
98,z_ecfp_71,0.0008282992107526699
37,z_ecfp_10,0.0007788362077645328
99,z_ecfp_72,0.0007223691603568394
90,z_ecfp_63,0.0006599302656138395
63,z_ecfp_36,0.0006580756040448499
107,z_ecfp_80,0.0006048237261411238
75,z_ecfp_48,0.0005928835913737718
100,z_ecfp_73,0.0005819873591152991
46,z_ecfp_19,0.0005272909330769071
10,n_priamines,0.0005151999776178418
91,z_ecfp_64,0.0004957621594487982
111,z_ecfp_84,0.000480796415859297
97,z_ecfp_70,0.0004751180208744099
70,z_ecfp_43,0.000472161916647007
36,z_ecfp_9,0.0004663402389850635
74,z_ecfp_47,0.0004534031096368185
58,z_ecfp_31,0.0004411910148214293
4,n_fluoros,0.00044091223896058906
115,z_ecfp_88,0.00042990831464728707
65,z_ecfp_38,0.0003992031500610338
89,z_ecfp_62,0.00036027455047094037
67,z_ecfp_40,0.0003596736698625591
85,z_ecfp_58,0.0003546735885415764
81,z_ecfp_54,0.00034577946199254583
106,z_ecfp_79,0.0003439906489213218
78,z_ecfp_51,0.0003382335951558346
8,n_phenols,0.0003021643222633763
35,z_ecfp_8,0.0002989820963681389
61,z_ecfp_34,0.00028997907271843815
6,n_carboxacids,0.0002569617049625883
126,z_ecfp_99,0.00024392963589026095
62,z_ecfp_35,0.00022881596071444577
123,z_ecfp_96,0.00022794005700088604
55,z_ecfp_28,0.00021355327289462878
79,z_ecfp_52,0.00020255757649767503
69,z_ecfp_42,0.00017915826018533032
124,z_ecfp_97,0.00017343997264696043
16,n_arohydroxyls,0.00017146225077624422
80,z_ecfp_53,0.00017109617556432255
43,z_ecfp_16,0.00016758777466918673
60,z_ecfp_33,0.00016166305741349696
66,z_ecfp_39,0.00015802771767425838
49,z_ecfp_22,0.00014990228507727466
42,z_ecfp_15,0.00014439955684220074
82,z_ecfp_55,0.00012455015145751425
48,z_ecfp_21,9.518220189908e-05
41,z_ecfp_14,5.314183280713536e-05
44,z_ecfp_17,4.62565658372327e-05
125,z_ecfp_98,3.315529844138965e-05
76,z_ecfp_49,2.8414817199173825e-05
47,z_ecfp_20,2.5028810974436766e-05
102,z_ecfp_75,0.0
94,z_ecfp_67,0.0
57,z_ecfp_30,0.0
84,z_ecfp_57,0.0
40,z_ecfp_13,0.0
59,z_ecfp_32,0.0
121,z_ecfp_94,0.0
120,z_ecfp_93,0.0
119,z_ecfp_92,0.0
39,z_ecfp_12,0.0
117,z_ecfp_90,0.0
116,z_ecfp_89,0.0
114,z_ecfp_87,0.0
103,z_ecfp_76,0.0
54,z_ecfp_27,0.0
112,z_ecfp_85,0.0
51,z_ecfp_24,0.0
110,z_ecfp_83,0.0
32,z_ecfp_5,0.0
29,z_ecfp_2,0.0
50,z_ecfp_23,0.0
71,z_ecfp_44,0.0
105,z_ecfp_78,0.0
101,z_ecfp_74,0.0
108,z_ecfp_81,0.0
