,Feature,Score
25,TPSA,0.025347968178082603
3,n_secamines,0.014137006955718734
26,n_arorings,0.011662034581139569
22,n_donors,0.01005276618295925
20,exact_weight,0.009504529870683731
0,n_amides,0.007910487765597107
13,n_anilines,0.007240196858593118
1,n_ethers,0.006664483341905614
2,n_teramines,0.006162901342682492
21,log_p,0.0057036570266990605
24,n_rotbonds,0.005142051963031191
88,z_ecfp_61,0.005031241811941145
23,n_acceptors,0.004866695086721551
30,z_ecfp_3,0.0029659591255701834
9,n_sulfoanamids,0.002861562168623877
19,n_bonds,0.002858015452457563
18,n_heavyatoms,0.0025566711693878474
12,n_alkenes,0.0023928962869437242
53,z_ecfp_26,0.002279861893745183
7,n_oxos,0.002252493476095019
56,z_ecfp_29,0.0022268801084637246
28,z_ecfp_1,0.0022131770677511486
14,n_halogens,0.0019551496281811076
17,n_atoms,0.0019087131690178616
83,z_ecfp_56,0.0015812602110789609
93,z_ecfp_66,0.0014549644320374089
104,z_ecfp_77,0.0014293754296172967
87,z_ecfp_60,0.0013918717313485818
5,n_chloros,0.0013040791873146773
109,z_ecfp_82,0.0012973290017679329
68,z_ecfp_41,0.0012484298068953237
45,z_ecfp_18,0.0012359444413869713
27,z_ecfp_0,0.0012237803515713352
73,z_ecfp_46,0.0011457561921834891
38,z_ecfp_11,0.0011422328503114532
77,z_ecfp_50,0.0011313969318413886
33,z_ecfp_6,0.0011120421456687346
86,z_ecfp_59,0.0011111093914109027
52,z_ecfp_25,0.0010993544867188287
122,z_ecfp_95,0.001081089193485818
31,z_ecfp_4,0.0009860909790440076
64,z_ecfp_37,0.0009849390644984801
113,z_ecfp_86,0.0009533256705178683
95,z_ecfp_68,0.0009140063615218352
72,z_ecfp_45,0.0009057567242178877
118,z_ecfp_91,0.0009049793948210372
6,n_carboxacids,0.0009007483911516179
8,n_phenols,0.0008702109733538244
34,z_ecfp_7,0.000863606395052452
92,z_ecfp_65,0.0008477470259038444
98,z_ecfp_71,0.0008368474651831992
96,z_ecfp_69,0.0008328335060385772
37,z_ecfp_10,0.0007741189003609428
4,n_fluoros,0.0007483057573336449
99,z_ecfp_72,0.0007293311221527876
90,z_ecfp_63,0.0006606613997317545
63,z_ecfp_36,0.0006605055055923792
107,z_ecfp_80,0.0006009380475102688
75,z_ecfp_48,0.0005968350930469768
100,z_ecfp_73,0.0005764677663069318
46,z_ecfp_19,0.0005120986023243734
91,z_ecfp_64,0.0005012123481751285
111,z_ecfp_84,0.00048392373611871875
97,z_ecfp_70,0.00047756026065637336
70,z_ecfp_43,0.00046758640318911304
74,z_ecfp_47,0.0004592783227510555
36,z_ecfp_9,0.0004574767694505155
115,z_ecfp_88,0.0004438392237842148
58,z_ecfp_31,0.0004411910148214293
65,z_ecfp_38,0.00038983347498788845
67,z_ecfp_40,0.00036784515891996605
89,z_ecfp_62,0.00036476999448331604
10,n_priamines,0.00036408633344398034
106,z_ecfp_79,0.00035829763979333684
85,z_ecfp_58,0.0003501199936888355
81,z_ecfp_54,0.00034525817805408643
78,z_ecfp_51,0.0003323043109346724
35,z_ecfp_8,0.00029907679942331455
61,z_ecfp_34,0.0002875814348635153
126,z_ecfp_99,0.00024673788298912314
62,z_ecfp_35,0.0002296890579229771
55,z_ecfp_28,0.00022492775125271258
123,z_ecfp_96,0.00022491779792566113
79,z_ecfp_52,0.00020286612534925474
16,n_arohydroxyls,0.00019274822680404036
80,z_ecfp_53,0.00018051025715837277
69,z_ecfp_42,0.0001796679351786512
124,z_ecfp_97,0.00017078545665105693
43,z_ecfp_16,0.00016020242310044175
60,z_ecfp_33,0.00015894053978571243
66,z_ecfp_39,0.0001534178038200551
11,n_nitriles,0.00014301531465110706
49,z_ecfp_22,0.00013835942408557678
42,z_ecfp_15,0.0001367437396926352
82,z_ecfp_55,0.0001149963791164943
48,z_ecfp_21,0.0001022799205594449
44,z_ecfp_17,6.014797174724862e-05
41,z_ecfp_14,5.698255401531682e-05
76,z_ecfp_49,4.1416023643492395e-05
125,z_ecfp_98,3.815532139017641e-05
47,z_ecfp_20,2.3089237878304303e-05
39,z_ecfp_12,0.0
114,z_ecfp_87,0.0
59,z_ecfp_32,0.0
54,z_ecfp_27,0.0
51,z_ecfp_24,0.0
121,z_ecfp_94,0.0
120,z_ecfp_93,0.0
119,z_ecfp_92,0.0
71,z_ecfp_44,0.0
117,z_ecfp_90,0.0
116,z_ecfp_89,0.0
50,z_ecfp_23,0.0
112,z_ecfp_85,0.0
15,n_alihydroxyls,0.0
32,z_ecfp_5,0.0
110,z_ecfp_83,0.0
108,z_ecfp_81,0.0
84,z_ecfp_57,0.0
40,z_ecfp_13,0.0
105,z_ecfp_78,0.0
29,z_ecfp_2,0.0
103,z_ecfp_76,0.0
102,z_ecfp_75,0.0
101,z_ecfp_74,0.0
94,z_ecfp_67,0.0
57,z_ecfp_30,0.0
