,importance_mean,improtance_std
z_ecfp_61,0.8543396515721324,0.291320696855735
log_p,0.649934963602766,0.12275396947595256
z_ecfp_3,0.6342952069809106,0.0632811003889709
n_alkenes,0.5616196639260829,0.3215299181441225
TPSA,0.48104466410290436,0.21306841729683693
z_ecfp_26,0.4504620608556744,0.10735040240809557
n_secamines,0.44973146167743183,0.17411068518176373
z_ecfp_1,0.42261561070183895,0.11500619840295533
z_ecfp_68,0.42227840094570884,0.09085973206670861
z_ecfp_60,0.4168286713488428,0.12509409822909875
z_ecfp_77,0.3988702299307462,0.10131470764358433
z_ecfp_46,0.3737695773366647,0.04985881169791124
n_amides,0.3615929261588934,0.21164454475190392
z_ecfp_56,0.3566810602664767,0.08487040166204776
z_ecfp_25,0.35666404159226833,0.061912125013688375
z_ecfp_66,0.34791712771342914,0.15105925983545027
z_ecfp_41,0.3469437592797335,0.020163403711005612
z_ecfp_29,0.3385003430155949,0.1383809966376654
z_ecfp_18,0.32447094070346477,0.08482311612023193
z_ecfp_58,0.3159307743199253,0.06491305520074363
z_ecfp_86,0.30881107084442994,0.049916292086764784
z_ecfp_62,0.3063030860019298,0.09397794708133249
z_ecfp_55,0.30221139882176096,0.13927324402115376
z_ecfp_37,0.2936621894088806,0.0757030075103836
z_ecfp_31,0.2930941462597487,0.049131023026246286
z_ecfp_67,0.28250073954286664,0.09922255780245075
z_ecfp_59,0.2820063670559415,0.0943727917294652
z_ecfp_73,0.2782302067004979,0.09682284310649272
z_ecfp_8,0.2764326856332382,0.09607343352297999
z_ecfp_71,0.2747659490917092,0.08707097830474042
z_ecfp_65,0.2711851075921744,0.07178197183892839
z_ecfp_36,0.26243153557377696,0.12060375404131725
z_ecfp_11,0.2609387991020879,0.10395387316996167
z_ecfp_75,0.2608330432040329,0.08240325711875594
z_ecfp_32,0.2595022050477245,0.09207851563613044
z_ecfp_78,0.25785323004616756,0.07082636208213824
z_ecfp_94,0.2577907278968196,0.11072021857035895
z_ecfp_0,0.25508913886284795,0.1273464907163414
z_ecfp_2,0.25316460315077516,0.12090611305071697
z_ecfp_74,0.2529160519031925,0.0890455002386169
z_ecfp_13,0.25185262225771976,0.08387290324148913
z_ecfp_83,0.2511664927177878,0.11496042109724984
z_ecfp_95,0.24995422218544944,0.11915898757917917
z_ecfp_4,0.24931364896752736,0.11005639774677684
z_ecfp_34,0.24780961217234876,0.16607944169576191
z_ecfp_87,0.2476399437325907,0.11455604167656137
z_ecfp_6,0.24466940341981194,0.12280175554654729
z_ecfp_89,0.24329080343486062,0.12569107279418984
z_ecfp_47,0.24239935311033997,0.07892508896126972
z_ecfp_85,0.2420591381823447,0.1386850962194748
z_ecfp_44,0.24149578448798445,0.12446475495195726
z_ecfp_7,0.24031560205594563,0.1137942731775559
exact_weight,0.24010425541754127,0.08196422649447391
z_ecfp_39,0.23892335432857467,0.09599101085915378
z_ecfp_22,0.23839804457390207,0.10481553196841471
z_ecfp_35,0.2377815431220173,0.10171724730193298
z_ecfp_50,0.23774366411047382,0.12793088220104376
z_ecfp_57,0.23616478905908916,0.07564295292635663
z_ecfp_91,0.23561677396543423,0.09159120177060522
z_ecfp_9,0.2354891579635418,0.11832619533940647
n_arorings,0.23407676609600334,0.17489890065581748
z_ecfp_98,0.2337884359367869,0.08375615001450847
z_ecfp_72,0.2324747177948536,0.1314739391834865
z_ecfp_84,0.23185467344022526,0.10370459400293067
z_ecfp_43,0.23142196376701996,0.09881402425766735
n_atoms,0.2313489519928567,0.15051427437427717
z_ecfp_27,0.22931077648213283,0.07139357978531627
z_ecfp_97,0.22889707455611066,0.1559075326118456
z_ecfp_45,0.22710936799106857,0.11061876697163672
z_ecfp_5,0.22679302167211637,0.10349668970223026
z_ecfp_64,0.22443758268377179,0.09167774278917264
z_ecfp_81,0.2243256879648583,0.13074111474430203
z_ecfp_33,0.222946850029575,0.11535537328790325
z_ecfp_51,0.22244736891439898,0.1542734539704105
z_ecfp_79,0.22209175645207452,0.11348849401126208
z_ecfp_24,0.21983000407360914,0.09821641821295045
z_ecfp_99,0.2197909423668313,0.09868660687215794
z_ecfp_54,0.21909297361927882,0.11624777201363015
z_ecfp_93,0.21792921192009984,0.13874374471349135
n_rotbonds,0.21555048023049403,0.1364195035674739
n_teramines,0.2144407650123668,0.16031915322427168
z_ecfp_38,0.2143852244295511,0.12959603215847726
z_ecfp_82,0.21389173340818346,0.1462579398284574
z_ecfp_90,0.21314926464242817,0.14235926924334116
z_ecfp_53,0.2127261128866242,0.1125391886859185
z_ecfp_49,0.21272455683624925,0.12868049667622142
z_ecfp_28,0.2121256395964255,0.14471137603850584
z_ecfp_88,0.2120492879230521,0.13211973538913463
z_ecfp_76,0.21141251000344335,0.14070075686020245
z_ecfp_30,0.21114956128060414,0.13241289282922422
z_ecfp_23,0.21082934855717667,0.10564677851095328
z_ecfp_80,0.2101457904017853,0.08832922941984787
z_ecfp_20,0.21014309729854924,0.1343191730939197
z_ecfp_19,0.20946408130962685,0.1354263315161505
z_ecfp_96,0.2060840726757739,0.1089775033858964
z_ecfp_15,0.20125955994941763,0.11787302812746095
